id,Fname,Lname,DOB,POB,role
1,Damien,Chigford,1989-02-15,Philadelphia,Player
2,John,Castro,1994-12-19,San Francisco,Player
3,Albert,Weller,1992-05-26,Warrenville,Pitcher
4,David,McAbee,1996-10-27,Rockford,Manager
5,Frank,Brown,1987-03-30,Bloomingdale,Coach
6,John,Hobbs,1993-10-10,Grand Rapids,Coach
7,Ben,Keith,1998-07-06,Springfield,Umpire
8,Mark,Johnson,1970-09-16,Shreveport,Umpire
9,Robert,Garvin,1984-12-24,Minneapolis,Player
10,James,Baldwin,1986-01-29,Irvine,Player
11,Ron,Horner,1994-04-01,Hartford,Pitcher
12,Brian,Thomas,1966-01-22,Buffalo,Manager
13,Scott,Esquivel,1981-06-24,Sherman Mills,Coach
14,William,Spahn,1992-01-25,Greensboro,Player
15,David,Barnett,1996-04-30,Napa,Player
16,Tommy,Joseph,1985-10-23,Southfield,Pitcher
17,Byron,Oliver,1960-07-31,Hattiesburg,Manager
18,Brian,Demarco,1983-09-23,Los Angeles,Coach
19,Thomas,Lester,1974-02-02,Dodge City,Coach
20,Michael,Jacobs,1988-09-15,Phoenix,Player
21,Terry,Swindle,1999-08-21,Westbrook,Player
22,James,McCarty,1986-02-16,Bradenton,Pitcher
23,Bruce,Lovett,1953-02-28,Madison,Manager
24,Frederick,Gurney,1973-05-16,Canton,Coach
